IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
152.69.219.32,4,4,0.00,206.42,0.00
152.69.219.32,4,4,0.00,206.61,0.00
152.69.219.32,4,4,0.00,207.04,0.00
129.150.51.134,4,4,0.00,207.08,0.00
129.150.51.134,4,4,0.00,207.14,0.00
