IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.4.122,2083,TRUE,SIN,Asia Pacific,Singapore,227 ms,6136 kB/s
47.236.93.176,2083,TRUE,SIN,Asia Pacific,Singapore,227 ms,6062 kB/s
8.219.191.40,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,6053 kB/s
8.219.49.65,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,6053 kB/s
47.236.254.120,2053,TRUE,SIN,Asia Pacific,Singapore,231 ms,6049 kB/s
8.222.191.138,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,6021 kB/s
8.219.248.47,8443,TRUE,SIN,Asia Pacific,Singapore,245 ms,5963 kB/s
47.237.82.15,8443,TRUE,SIN,Asia Pacific,Singapore,224 ms,5952 kB/s
8.219.126.240,2087,TRUE,SIN,Asia Pacific,Singapore,227 ms,5868 kB/s
8.219.222.98,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,5781 kB/s
8.219.83.71,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,5763 kB/s
47.236.102.102,2096,TRUE,SIN,Asia Pacific,Singapore,249 ms,5728 kB/s
8.219.201.245,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,5689 kB/s
8.219.67.133,8443,TRUE,SIN,Asia Pacific,Singapore,224 ms,5663 kB/s
8.219.60.54,2083,TRUE,SIN,Asia Pacific,Singapore,223 ms,5637 kB/s
47.237.81.112,2087,TRUE,SIN,Asia Pacific,Singapore,220 ms,5598 kB/s
8.219.66.156,2053,TRUE,NRT,Asia Pacific,Tokyo,287 ms,5551 kB/s
47.236.144.208,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,5508 kB/s
47.236.146.249,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,5491 kB/s
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,239 ms,5480 kB/s
47.237.83.20,8443,TRUE,SIN,Asia Pacific,Singapore,227 ms,5411 kB/s
8.219.6.150,8443,TRUE,SIN,Asia Pacific,Singapore,230 ms,5403 kB/s
47.237.92.26,2087,TRUE,SIN,Asia Pacific,Singapore,238 ms,5388 kB/s
47.237.86.185,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,5348 kB/s
47.236.144.48,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,5326 kB/s
47.236.169.141,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,5314 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,224 ms,5304 kB/s
47.236.144.196,2083,TRUE,SIN,Asia Pacific,Singapore,235 ms,5294 kB/s
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,224 ms,5233 kB/s
8.219.153.237,2087,TRUE,NRT,Asia Pacific,Tokyo,307 ms,5227 kB/s
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,230 ms,5216 kB/s
47.236.169.15,2087,TRUE,SIN,Asia Pacific,Singapore,227 ms,5193 kB/s
47.236.17.193,8443,TRUE,SIN,Asia Pacific,Singapore,250 ms,5192 kB/s
8.219.132.64,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,5176 kB/s
8.222.156.242,8443,TRUE,SIN,Asia Pacific,Singapore,241 ms,5170 kB/s
47.237.95.146,2053,TRUE,SIN,Asia Pacific,Singapore,225 ms,5100 kB/s
47.236.83.239,2053,TRUE,SIN,Asia Pacific,Singapore,234 ms,5058 kB/s
47.236.172.95,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,5046 kB/s
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,225 ms,5014 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,243 ms,5009 kB/s
47.236.75.113,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,5001 kB/s
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,231 ms,4939 kB/s
8.219.193.202,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,4908 kB/s
47.236.158.158,2096,TRUE,SIN,Asia Pacific,Singapore,240 ms,4862 kB/s
8.222.167.147,2083,TRUE,SIN,Asia Pacific,Singapore,229 ms,4850 kB/s
47.236.144.156,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,4835 kB/s
8.222.144.50,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,4754 kB/s
47.236.205.188,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,4740 kB/s
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,241 ms,4720 kB/s
47.236.171.205,2096,TRUE,SIN,Asia Pacific,Singapore,237 ms,4702 kB/s
8.222.162.45,2087,TRUE,SIN,Asia Pacific,Singapore,233 ms,4692 kB/s
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,4652 kB/s
47.236.180.51,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,4575 kB/s
8.219.174.142,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,4485 kB/s
8.222.150.197,2083,TRUE,SIN,Asia Pacific,Singapore,216 ms,4457 kB/s
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,230 ms,4438 kB/s
47.236.10.100,8443,TRUE,SIN,Asia Pacific,Singapore,230 ms,4226 kB/s
47.236.149.107,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,4185 kB/s
47.236.166.131,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,3704 kB/s
47.90.141.204,443,TRUE,LAX,North America,Los Angeles,268 ms,3119 kB/s
47.242.54.157,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,3013 kB/s
47.236.125.62,8443,TRUE,NRT,Asia Pacific,Tokyo,296 ms,2838 kB/s
47.238.235.163,443,TRUE,HKG,Asia Pacific,Hong Kong,53 ms,2766 kB/s
47.242.157.96,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,2351 kB/s
47.89.191.155,443,TRUE,IAD,North America,Ashburn,248 ms,1980 kB/s
8.217.90.154,443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,1750 kB/s
47.76.146.1,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,1577 kB/s
47.76.77.103,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,1568 kB/s
8.219.210.64,2083,TRUE,SIN,Asia Pacific,Singapore,242 ms,627 kB/s
47.76.94.15,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,601 kB/s
8.222.225.193,443,TRUE,SIN,Asia Pacific,Singapore,219 ms,587 kB/s
47.57.245.232,443,TRUE,SJC,North America,San Jose,70 ms,349 kB/s
8.218.63.172,443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,323 kB/s
47.57.14.118,443,TRUE,SJC,North America,San Jose,78 ms,237 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,141 kB/s
47.57.13.107,443,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,0 kB/s
47.236.85.11,8443,TRUE,SIN,Asia Pacific,Singapore,235 ms,0 kB/s
8.210.92.27,443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
47.236.5.223,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.236.80.110,2087,TRUE,SIN,Asia Pacific,Singapore,239 ms,0 kB/s
4.255.56.138,443,TRUE,IAD,North America,Ashburn,283 ms,5110 kB/s
4.255.56.137,443,TRUE,IAD,North America,Ashburn,287 ms,4901 kB/s
172.190.150.25,8443,TRUE,IAD,North America,Ashburn,286 ms,4356 kB/s
51.107.13.85,8443,TRUE,MXP,Europe,Milan,309 ms,4236 kB/s
20.108.51.255,443,TRUE,LHR,Europe,London,287 ms,3975 kB/s
51.120.240.115,2087,TRUE,CPH,Europe,Copenhagen,311 ms,3714 kB/s
20.220.204.217,443,TRUE,YYZ,North America,Toronto,231 ms,3186 kB/s
52.151.81.2,2083,TRUE,LHR,Europe,London,272 ms,3138 kB/s
20.83.149.174,443,TRUE,IAD,North America,Ashburn,273 ms,2041 kB/s
20.62.202.159,443,TRUE,IAD,North America,Ashburn,285 ms,1423 kB/s
20.240.254.247,8443,TRUE,ARN,Europe,Stockholm,313 ms,1216 kB/s
20.170.41.153,443,TRUE,FRA,Europe,Frankfurt,284 ms,438 kB/s
,,,,,,,
